teks1,teks2,similarity
tua,baru,0.20223793066286633
pintar,cerdas,0.7253171556701785
keras,sulit,0.3343177892253851
bahagia,ceria,0.46932279142094724
keras,mudah,0.3387330079172064
cepat,cepat,1.0000000000000002
bahagia,senang,0.5527590229200731
pendek,panjang,0.4727797904782885
bodoh,bodoh,0.9999999999999998
aneh,aneh,1.0000000000000002
luas,sempit,0.4636783751904882
buruk,mengerikan,0.5420193278894921
mudah,sulit,0.727959202903506
buruk,mengerikan,0.5420193278894921
keras,sederhana,0.30267793511489116
cerdas,bodoh,0.4788587396095625
gila,gila,1.0
bahagia,gila,0.35000729064029945
besar,besar,1.0
keras,sulit,0.3343177892253851
Baru,segar,0.055287147638856615
tajam,membosankan,0.2812974237177289
cepat,cepat,1.0000000000000002
bodoh,bodoh,0.9999999999999998
luarbiasa,Hebat,0.16412702814620062
aneh,aneh,1.0000000000000002
bahagia,marah,0.3972791249542471
sempit,luas,0.4636783751904882
sederhana,mudah,0.46171604511254616
tua,segar,0.18874260598901355
jelas,jelas,1.0
murah,murah,0.9999999999999999
bagus,baik,0.5241869074486423
aneh,normal,0.30501336589797967
aneh,aneh,1.0000000000000002
buruk,jelek,0.5693298658461186
sedih,lucu,0.41227936250833574
luarbiasa,Hebat,0.16412702814620062
bersalah,malu,0.49209184220687585
cantik,indah,0.5220988345764296
yakin,yakin,0.9999999999999999
bodoh,padat,0.026050492207190912
besar,besar,1.0
bagus,kejam,0.13874776169687467
sabar,cemas,0.47467478789822953
besar,luas,0.33762173343832613
kuat,bangga,0.36640161329207316
perlu,diperlukan,0.6440208231866801
gelisah,muda,0.1667512551765602
bodoh,cerdas,0.4788587396095625
buruk,besar,0.2939210712669598
sulit,sederhana,0.4214786966997637
diperlukan,penting,0.39168158980404477
buruk,Hebat,0.11862372687374906
gila,senang,0.4348387919294549
jujur,bersalah,0.2904716356167532
mudah,sulit,0.727959202903506
mudah,fleksibel,0.49782827513769784
pasti,yakin,0.4185222412369083
penting,diperlukan,0.39168158980404477
berbeda,normal,0.33550008660917563
licik,pintar,0.42950145393128025
penting,penting,0.9999999999999998
keras,kejam,0.36313697902612596
bodoh,bodoh,0.9999999999999998
langka,langka,1.0
ramah,baik,0.3792169634485013
rapuh,dingin,0.3129504948037987
panjang,sempit,0.397128872893104
besar,berat,0.3180530597306399
kasar,dingin,0.22981904940560316
aneh,aneh,1.0000000000000002
ilegal,buruk,0.20643384582302476
buruk,bersalah,0.28509402800380845
modern,kuno,0.6267442398017594
Baru,kuno,0.11612171558312162
kusam,lucu,0.22174188913834383
