teks1,teks2,similarity
cinta,seks,0.3929466195633291
Harimau,kucing,0.28093843381470884
harimau,harimau,0.9999999999999998
buku,kertas,0.423154451537439
komputer,monitor,0.5588747864513655
komputer,internet,0.620173780311835
pesawat,mobil,0.5743853317775893
Kereta,mobil,0.32006878960942864
telepon,komunikasi,0.5158221090239943
televisi,radio,0.637462810418643
media,radio,0.42995989214578756
obat,penyalahgunaan,0.3971531567806097
roti,mentega,0.6294262490765483
mentimun,kentang,0.7517675085744023
dokter,perawat,0.7147046190799413
Profesor,dokter,0.36277226012707287
mahasiswa,Profesor,0.2622612258797233
Pintar,mahasiswa,0.05278088234971798
Pintar,bodoh,0.1724500589765633
perusahaan,saham,0.5388239486816048
Persediaan,pasar,0.21861082971777787
persediaan,telepon,0.25727544639358446
persediaan,CD,-0.00859904169873861
persediaan,jaguar,-0.013508209292559283
persediaan,telur,0.3176671591387835
kesuburan,telur,0.2137753501639642
saham,langsung,0.23472028652176996
saham,kehidupan,0.10627759647846019
buku,Perpustakaan,0.2163068949707067
Bank,uang,0.15297031383635507
kayu,hutan,0.44435236866067457
uang,tunai,0.48556103696025654
Profesor,mentimun,-0.08168912274793452
Raja,kubis,-0.07500855662889822
Raja,Ratu,0.6296091132198506
Raja,benteng,0.22486288315500863
Uskup,rabbi,0.23177714215873557
Jerusalem,Israel,0.49081856169540505
Yerusalem,Palestina,0.6547230172709251
Kudus,seks,-0.06244620988489798
bercinta,seks,0.35501897971878704
Inter,sepakbola,0.22793823492740772
sepakbola,sepakbola,0.9999999999999999
sepakbola,basket,0.5380885292291738
sepakbola,tenis,0.48121713065984145
Tenis,Raket,0.48903155172704293
Arafat,perdamaian,0.3287454313932617
Arafat,teror,0.18405304065942318
Arafat,Jackson,0.21827231690762364
hukum,pengacara,0.4237691585391532
film,bintang,0.3045356035374877
film,drama,0.6611480518282647
film,kritikus,0.40550745119395537
film,theater,0.2237997971700652
Fisika,proton,0.23392006347784658
Fisika,Kimia,0.7184451291276596
Ruang,Kimia,0.12564675942743203
alkohol,Kimia,0.24259439109346387
vodka,gin,0.8379878624755512
vodka,brendi,0.7479554685782743
minuman,mobil,0.36891753376097053
minuman,telinga,0.08598793520487956
minuman,mulut,0.20486767303641557
minum,makan,0.6239165171169447
bayi,Ibu,0.28827531039057364
minuman,ibu,0.11024540616752493
Mobil,mobil,0.6612938763315148
permata,permata,0.9999999999999998
perjalanan,pelayaran,0.643801894376845
pria,ayah,0.33545510274145185
Pantai,pantai,0.6594117589511934
suaka,pengungsi,0.529048337429584
penyihir,penyihir,0.9999999999999999
petang,siang,0.7191161353414174
tungku,kompor,0.7591782367473721
makanan,buah,0.34210093468462804
burung,ayam,0.517152977086304
burung,bangau,0.6479411399634599
Alat,menerapkan,0.05624744539792352
saudara,biarawan,0.2519714788632759
pasang,menerapkan,0.08644895263841396
Pemuda,saudara,0.02331820702642047
perjalanan,mobil,0.31529833120161055
biarawan,peramal,0.4947801987341669
Pemakaman,berhutan,0.18792644261328786
Makanan,ayam,0.3374094675450834
Pantai,Bukit,0.2786868171900981
hutan,kuburan,0.39018810734779685
Pantai,mangrove,0.30136669417047246
biarawan,budak,0.37980745164257035
Pantai,hutan,0.22380189038689047
Pemuda,Penyihir,0.1182499050222052
chord,senyum,0.19462774666959193
kaca,penyihir,0.10916685015292643
Siang,tali,0.10954210380792256
ayam,perjalanan,0.14260038415359608
uang,dolar,0.569991664823984
uang,tunai,0.48556103696025654
uang,koin,0.6740498266968739
uang,kekayaan,0.44627015868222014
uang,properti,0.37835173904166075
uang,kepemilikan,0.32146829580534214
uang,bank,0.41196535334589546
uang,deposit,0.3885781761170485
uang,penarikan,0.2533933283246279
uang,pencucian,0.3394801008711674
uang,operasi,0.285527619187797
Harimau,jaguar,0.2967429817251225
Harimau,kucing,0.28093843381470884
Harimau,karnivora,0.3320631014763926
Harimau,mamalia,0.30184039652103856
Harimau,hewan,0.26756365217936584
Harimau,organisme,0.12999794855174857
Harimau,fauna,0.3079402660983197
Harimau,safari,0.13417076974024866
Psikologi,psikiatri,0.5518949229917889
Psikologi,kecemasan,0.2497347862573783
Psikologi,ketakutan,0.11706386452990929
Psikologi,depresi,0.21501856791737567
Psikologi,klinik,0.2842135333365611
psikologi,dokter,0.40570955273691184
Psikologi,kebebasan,0.06874612620011954
Psikologi,pikiran,0.23219680447002605
Psikologi,Kesehatan,0.42395505190313376
Psikologi,ilmu,0.35991064894008823
Psikologi,disiplin,0.2508224139794678
Psikologi,kognisi,0.40702771285039796
planet,bintang,0.4430572273389073
planet,rasi,0.13610113632239063
planet,bulan,0.1797567968189812
planet,matahari,0.5031291771654903
planet,galaxy,0.2183732362265598
planet,Ruang,0.025047936299204508
planet,astronom,0.27853474310393866
preseden,contoh,0.40784080793913136
preseden,informasi,0.3241671452989768
preseden,kognisi,0.2971151011587502
preseden,hukum,0.6364323585938866
preseden,koleksi,0.14101882020843512
preseden,kelompok,0.32809611528718746
preseden,Pendahuluan,0.0966822640063884
Piala,kopi,0.021223278950320577
Piala,pecah,0.044495965485183336
Piala,artikel,0.016395273571654094
Piala,artefak,-0.009785126930045315
Piala,objek,-0.054724227631362844
Piala,entitas,0.01241446388205746
Piala,minuman,0.018836921521759833
Piala,makanan,0.09944748986814507
Piala,substansi,-0.037306395004026556
Piala,cairan,0.018584726380522554
Jaguar,kucing,0.15552501325524343
Jaguar,mobil,0.3522763862306443
energi,Sekretaris,0.00999496431798208
Sekretaris,Senat,0.39085935299402086
energi,laboratorium,0.2601473173540251
komputer,laboratorium,0.4973806005789736
senjata,rahasia,0.41537686120594847
FBI,biometrik,0.2441730929615143
FBI,penyelidikan,0.4153254673433015
penyelidikan,usaha,0.38326459275164115
Mars,air,0.1861198720728988
Mars,ilmuwan,0.18139349718155146
Berita,laporan,0.34118796442403004
Canyon,lanskap,0.10053312426951444
